munid,name_municipal_w_type,municipal_rate,education_rate
5854,Terrace Bay Tp,0.02964364,0.00153000
5866,Manitouwadge Tp,0.06695017,0.00153000
5841,Red Rock Tp,0.03948868,0.00153000
5808,Oliver Paipoonge M,0.01004201,0.00153000
5418,Temiskaming Shores C,0.01199420,0.00153000
5408,Cobalt T,0.01540685,0.00153000
5452,Englehart T,0.01630191,0.00153000
5468,Kirkland Lake T,0.01980200,0.00153000
5406,Latchford T,0.01064946,0.00153000
5438,Thornloe V,0.01607139,0.00153000
5436,Armstrong Tp,0.01029851,0.00153000
5432,Brethour Tp,0.00887157,0.00153000
5429,Casey Tp,0.01188479,0.00153000
5454,Chamberlain Tp,0.01160347,0.00153000
5401,Coleman Tp,0.00905000,0.00153000
5449,Evanturel Tp,0.01158557,0.00153000
5426,Harley Tp,0.01089422,0.00153000
5414,Harris Tp,0.00563578,0.00153000
5434,Hilliard Tp,0.01175183,0.00153000
5421,Hudson Tp,0.00779806,0.00153000
5442,James Tp,0.01042908,0.00153000
5424,Kerns Tp,0.01164241,0.00153000
5462,Larder Lake Tp,0.02166281,0.00153000
5458,McGarry Tp,0.02348530,0.00153000
5466,Gauthier Tp,0.01939016,0.00153000
5456,Matachewan Tp,0.01586671,0.00153000
5446,Charlton and Dack M,0.01210310,0.00153000
